text,label,,,,,"0=negative, 1=neutral, 2=positive"
Fjórða stoð út­flutn­ings­ins,1,,,,,
Tveir Vals­ar­ar í fær­eyska hópn­um,1,,,,,
Hvet­ur til sam­starfs­yf­ir­lýs­ing­ar,2,,,,,
Verða karl­menn veik­ari en kon­ur?,1,,,,,
Grím­ur: Hug­mynd­in er „ófram­kvæm­an­leg“,0,,,,,
Örygg­is­um­hverfið nú fjand­sam­legra en áður,0,,,,,
Örlaga­rík­ur stjórn­ar­fund­ur haf­inn,2,,,,,
Ísland tek­ur ekki þátt í Eurovisi­on,0,,,,,
Fram­kvæmda­stjórn­in tók ákvörðun­ina en ekki stjórn­in,0,,,,,
Króatía fetaði í fót­spor Íslands,1,,,,,
Hyggj­ast krefjast upp­lýs­inga um sam­fé­lags­miðla,0,,,,,
Er­lend­ir miðlar fjalla um ákvörðun RÚV,1,,,,,
Mik­ill Eurovisi­on-aðdá­andi seg­ir ákvörðun­ina rétta,2,,,,,
Skatta­leg áhrif 190 millj­arðar króna,1,,,,,
Ísland fer upp um eitt sæti,2,,,,,
Ragga Holm rær á ný mið  – Son­ur­inn veitti inn­blástur­inn,2,,,,,
Þor­gerður: „Hvaða della er þetta?“,0,,,,,
Ísland spil­ar bara fyr­ir heiður­inn og kannski skömm­ina,1,,,,,
Björk vill að Ísland sniðgangi Eurovisi­on,0,,,,,
Eng­in strokleðursguðfræði,1,,,,,
Elsk­ar Ísland en seg­ir að ekk­ert jafn­ist á við Bras­il­íu,0,,,,,
„Kynþrosk­inn er svo Svarti–Pét­ur­inn“,1,,,,,
Ætlum að vinna þær aft­ur,1,,,,,
Heils­an fín en auðvitað þreyta,1,,,,,
Leik­manna­hóp­ur Íslands klár,2,,,,,
Sæt­ur sig­ur í loka­leik Íslands,2,,,,,
Eru að skrifa sögu kvenna­hand­bolt­ans,2,,,,,
Þetta er ekki bóla sem hverf­ur,1,,,,,
Semja að nýju um Laug­ar­dalsvöll,1,,,,,
Land­rit­ari lýs­ir samtíð sinni,1,,,,,
Dan­ir náðu topp­sæt­inu - Nor­eg­ur gjör­sigraði Bras­il­íu,1,,,,,
„Þetta nær engri átt“,0,,,,,
Stærsti nóv­em­ber frá upp­hafi,1,,,,,
Heild­arfarþega­fjöldi mun drag­ast sam­an á milli ára,0,,,,,
Leik­manna­hóp­ur Íslands klár,2,,,,,
Sæt­ur sig­ur í loka­leik Íslands,2,,,,,
Eru að skrifa sögu kvenna­hand­bolt­ans,2,,,,,
Þetta er ekki bóla sem hverf­ur,1,,,,,
Semja að nýju um Laug­ar­dalsvöll,1,,,,,
Land­rit­ari lýs­ir samtíð sinni,1,,,,,
Dan­ir náðu topp­sæt­inu - Nor­eg­ur gjör­sigraði Bras­il­íu,1,,,,,
„Þetta nær engri átt“,0,,,,,
Stærsti nóv­em­ber frá upp­hafi,1,,,,,
Heild­arfarþega­fjöldi mun drag­ast sam­an á milli ára,0,,,,,
Elsti Íslend­ing­ur­inn lát­inn,0,,,,,
Verða án sterkra leik­manna gegn Íslandi,1,,,,,
Elín Klara skaraði fram úr hjá Íslandi,2,,,,,
Fjórða stoð út­flutn­ings­ins,1,,,,,
Tveir Vals­ar­ar í fær­eyska hópn­um,1,,,,,
Hvet­ur til sam­starfs­yf­ir­lýs­ing­ar,2,,,,,
Verða karl­menn veik­ari en kon­ur?,1,,,,,
Seg­ir hug­mynd­ir Musks og Miðflokks ekki væn­leg­ar,0,,,,,
Tveir skjálft­ar í Vatna­jökli,1,,,,,
Mynd­skeið: Frá­bær auka­spyrna Ótt­ars,2,,,,,
