text,label,,,,,"0=negative, 1=neutral, 2=positive"
Fjórða stoð útflutningsins,1,,,,,
Tveir Valsarar í færeyska hópnum,1,,,,,
Hvetur til samstarfsyfirlýsingar,2,,,,,
Verða karlmenn veikari en konur?,1,,,,,
Grímur: Hugmyndin er „óframkvæmanleg“,0,,,,,
Öryggisumhverfið nú fjandsamlegra en áður,0,,,,,
Örlagaríkur stjórnarfundur hafinn,2,,,,,
Ísland tekur ekki þátt í Eurovision,0,,,,,
Framkvæmdastjórnin tók ákvörðunina en ekki stjórnin,0,,,,,
Króatía fetaði í fótspor Íslands,1,,,,,
Hyggjast krefjast upplýsinga um samfélagsmiðla,0,,,,,
Erlendir miðlar fjalla um ákvörðun RÚV,1,,,,,
Mikill Eurovision-aðdáandi segir ákvörðunina rétta,2,,,,,
Skattaleg áhrif 190 milljarðar króna,1,,,,,
Ísland fer upp um eitt sæti,2,,,,,
Ragga Holm rær á ný mið – Sonurinn veitti innblásturinn,2,,,,,
Þorgerður: „Hvaða della er þetta?“,0,,,,,
Ísland spilar bara fyrir heiðurinn og kannski skömmina,1,,,,,
Björk vill að Ísland sniðgangi Eurovision,0,,,,,
Engin strokleðursguðfræði,1,,,,,
Elskar Ísland en segir að ekkert jafnist á við Brasilíu,0,,,,,
„Kynþroskinn er svo Svarti–Péturinn“,1,,,,,
Ætlum að vinna þær aftur,1,,,,,
Heilsan fín en auðvitað þreyta,1,,,,,
Leikmannahópur Íslands klár,2,,,,,
Sætur sigur í lokaleik Íslands,2,,,,,
Eru að skrifa sögu kvennahandboltans,2,,,,,
Þetta er ekki bóla sem hverfur,1,,,,,
Semja að nýju um Laugardalsvöll,1,,,,,
Landritari lýsir samtíð sinni,1,,,,,
Danir náðu toppsætinu - Noregur gjörsigraði Brasilíu,1,,,,,
„Þetta nær engri átt“,0,,,,,
Stærsti nóvember frá upphafi,1,,,,,
Heildarfarþegafjöldi mun dragast saman á milli ára,0,,,,,
Leikmannahópur Íslands klár,2,,,,,
Sætur sigur í lokaleik Íslands,2,,,,,
Eru að skrifa sögu kvennahandboltans,2,,,,,
Þetta er ekki bóla sem hverfur,1,,,,,
Semja að nýju um Laugardalsvöll,1,,,,,
Landritari lýsir samtíð sinni,1,,,,,
Danir náðu toppsætinu - Noregur gjörsigraði Brasilíu,1,,,,,
„Þetta nær engri átt“,0,,,,,
Stærsti nóvember frá upphafi,1,,,,,
Heildarfarþegafjöldi mun dragast saman á milli ára,0,,,,,
Elsti Íslendingurinn látinn,0,,,,,
Verða án sterkra leikmanna gegn Íslandi,1,,,,,
Elín Klara skaraði fram úr hjá Íslandi,2,,,,,
Fjórða stoð útflutningsins,1,,,,,
Tveir Valsarar í færeyska hópnum,1,,,,,
Hvetur til samstarfsyfirlýsingar,2,,,,,
Verða karlmenn veikari en konur?,1,,,,,
Segir hugmyndir Musks og Miðflokks ekki vænlegar,0,,,,,
Tveir skjálftar í Vatnajökli,1,,,,,
Myndskeið: Frábær aukaspyrna Óttars,2,,,,,
Mætum brjálaðar í leikinn,0,,,,,
Þetta var erfitt andlega,0,,,,,
Nemendur ósáttir: „Ég er svo sorgmæddur“,0,,,,,
Ísland krafðist leynilegrar kosningar,1,,,,,
Arnar sá rautt á ömurlegum lokakafla,0,,,,,
Gamall nýnasisti leggur til breytingar á Íslandi,1,,,,,
Veit ekki hvað gerist,1,,,,,
Ætla bara að segja það upphátt,1,,,,,
Arnar fær ekki leikbann,2,,,,,
Við lentum á vegg,0,,,,,
Regína fór næstum á svið óumbeðin: „Aldrei komið fyrir mig áður“,0,,,,,
